"subject","trial","phase","condition","look","outcome"
12,45,"acquisition","cs_plus_ns",1,"shock"
12,46,"acquisition","cs_minus_ns",1,"reward"
12,47,"acquisition","cs_minus_ns",0,NA
12,48,"acquisition","cs_plus_s",1,"shock"
12,49,"acquisition","cs_minus_ns",1,"reward"
12,50,"acquisition","cs_minus_s",1,"reward"
12,51,"acquisition","cs_plus_ns",0,NA
12,52,"acquisition","cs_plus_ns",1,"shock"
12,53,"acquisition","cs_plus_s",1,"shock"
12,54,"acquisition","cs_minus_s",1,"reward"
12,55,"acquisition","cs_plus_ns",1,"shock"
12,56,"acquisition","cs_plus_s",0,NA
12,57,"acquisition","cs_minus_ns",0,NA
12,58,"acquisition","cs_minus_ns",1,"reward"
12,59,"acquisition","cs_plus_ns",0,NA
12,60,"acquisition","cs_plus_s",1,"shock"
12,61,"acquisition","cs_minus_s",1,"reward"
12,62,"acquisition","cs_plus_s",1,"shock"
12,63,"acquisition","cs_minus_ns",0,NA
12,64,"acquisition","cs_minus_s",1,"reward"
12,65,"acquisition","cs_minus_s",1,"reward"
12,66,"acquisition","cs_minus_ns",1,"reward"
12,67,"acquisition","cs_minus_ns",1,"reward"
12,68,"acquisition","cs_plus_s",0,NA
12,69,"acquisition","cs_plus_ns",0,NA
12,70,"acquisition","cs_minus_s",1,"reward"
12,71,"acquisition","cs_minus_s",1,"reward"
12,72,"acquisition","cs_plus_ns",0,NA
12,73,"acquisition","cs_minus_s",1,"reward"
12,74,"acquisition","cs_minus_ns",0,NA
12,75,"acquisition","cs_plus_s",0,NA
12,76,"acquisition","cs_plus_s",1,"shock"
12,77,"acquisition","cs_plus_s",0,NA
12,78,"acquisition","cs_plus_ns",1,"shock"
12,79,"acquisition","cs_plus_ns",1,"shock"
12,80,"acquisition","cs_minus_ns",0,NA
12,81,"acquisition","cs_minus_ns",0,NA
12,82,"acquisition","cs_plus_ns",1,"shock"
12,83,"acquisition","cs_minus_ns",0,NA
12,84,"acquisition","cs_minus_s",0,NA
12,85,"acquisition","cs_minus_s",0,NA
12,86,"acquisition","cs_minus_ns",0,NA
12,87,"acquisition","cs_plus_s",1,"shock"
12,88,"acquisition","cs_plus_s",1,"shock"
12,89,"acquisition","cs_plus_ns",0,NA
12,90,"acquisition","cs_minus_s",1,"reward"
12,91,"acquisition","cs_plus_ns",1,"shock"
12,92,"acquisition","cs_minus_ns",1,"reward"
12,93,"acquisition","cs_plus_s",0,NA
12,94,"acquisition","cs_plus_s",0,NA
12,95,"acquisition","cs_minus_s",1,"reward"
12,96,"acquisition","cs_plus_ns",1,"shock"
12,97,"acquisition","cs_minus_ns",1,"reward"
12,98,"acquisition","cs_plus_s",0,NA
12,99,"acquisition","cs_plus_ns",1,"shock"
12,100,"acquisition","cs_plus_s",1,"shock"
12,101,"acquisition","cs_minus_ns",0,NA
12,102,"acquisition","cs_plus_s",1,"shock"
12,103,"acquisition","cs_minus_s",1,"reward"
12,104,"acquisition","cs_plus_s",0,NA
12,105,"acquisition","cs_minus_ns",1,"reward"
12,106,"acquisition","cs_minus_s",1,"reward"
12,107,"acquisition","cs_minus_ns",0,NA
12,108,"acquisition","cs_minus_s",1,"reward"
12,109,"acquisition","cs_plus_ns",0,NA
12,110,"acquisition","cs_plus_ns",0,NA
12,111,"acquisition","cs_minus_s",1,"reward"
12,112,"acquisition","cs_plus_ns",1,"shock"
12,113,"test","cs_minus_s",NA,NA
12,114,"test","cs_plus_ns",NA,NA
12,115,"test","cs_minus_ns",NA,NA
12,116,"test","cs_plus_s",NA,NA
12,117,"test","cs_minus_s",NA,NA
12,118,"test","cs_minus_ns",NA,NA
12,119,"test","cs_plus_s",NA,NA
12,120,"test","cs_plus_ns",NA,NA
12,121,"test","cs_minus_s",NA,NA
12,122,"test","cs_minus_ns",NA,NA
12,123,"test","cs_plus_ns",NA,NA
12,124,"test","cs_plus_s",NA,NA
12,125,"test","cs_plus_s",NA,NA
12,126,"test","cs_minus_s",NA,NA
12,127,"test","cs_minus_ns",NA,NA
12,128,"test","cs_plus_ns",NA,NA
12,129,"test","cs_minus_s",NA,NA
12,130,"test","cs_minus_ns",NA,NA
12,131,"test","cs_plus_ns",NA,NA
12,132,"test","cs_plus_s",NA,NA
12,133,"test","cs_plus_s",NA,NA
12,134,"test","cs_minus_ns",NA,NA
12,135,"test","cs_minus_s",NA,NA
12,136,"test","cs_plus_ns",NA,NA
12,137,"test","cs_minus_s",NA,NA
12,138,"test","cs_plus_ns",NA,NA
12,139,"test","cs_minus_ns",NA,NA
12,140,"test","cs_plus_s",NA,NA
12,141,"test","cs_minus_ns",NA,NA
12,142,"test","cs_plus_s",NA,NA
12,143,"test","cs_minus_s",NA,NA
12,144,"test","cs_plus_ns",NA,NA
