posFile,stimFile,cs_plus_s,cs_minus_s,cs_plus_ns,cs_minus_ns,stimtype,position,trialtype,trials_threshold.thisRepN,trials_threshold.thisTrialN,trials_threshold.thisN,trials_threshold.thisIndex,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,ratingtrials1.thisRepN,ratingtrials1.thisTrialN,ratingtrials1.thisN,ratingtrials1.thisIndex,learning_trials.thisRepN,learning_trials.thisTrialN,learning_trials.thisN,learning_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,ratingtrials2.thisRepN,ratingtrials2.thisTrialN,ratingtrials2.thisN,ratingtrials2.thisIndex,testtrials.thisRepN,testtrials.thisTrialN,testtrials.thisN,testtrials.thisIndex,ratingtrials3.thisRepN,ratingtrials3.thisTrialN,ratingtrials3.thisN,ratingtrials3.thisIndex,textStart.started,sliderPainT.response,sliderPainT.rt,textStartExp.started,imageRating.started,sliderStim.response,sliderStim.rt,textStartTask.started,image.started,score,outcome,roi.numLooks,roi.timesOn,roi.timesOff,imageFeedback.started,sliderPain.response,sliderPain.rt,textTestInstr.started,imageTest.started,roiTest.numLooks,roiTest.timesOn,roiTest.timesOff,participant,group,date,expName,psychopyVersion,frameRate,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(-0.7, 0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,0,12,12,8,,,,,,,,,,,,,,,,,,,,,,,,,2531.887213599868,30,none,0,,,2536.893959999783,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(0.7, 0.5)",cs_minus_s,,,,,0,0,0,0,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,,,2545.782500399975,35,reward,1,0.5068496000021696,0.5068540999200195,2546.296353999991,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(0.7, -0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,0,14,14,11,,,,,,,,,,,,,,,,,,,,,,,,,2555.420993999811,35,none,0,,,2560.427765299799,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(-0.7, -0.5)",cs_minus_ns,,,,,0,0,0,0,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,2570.767648999812,40,reward,1,0.5490063999313861,0.5490103999618441,2571.323144399794,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(-0.7, 0.5)",cs_plus_ns,,,,,0,0,0,0,,,,,1,0,16,8,,,,,,,,,,,,,,,,,,,,,,,,,2580.4894463999663,40,none,0,,,2585.4961757999845,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(0.7, -0.5)",cs_minus_ns,,,,,0,0,0,0,,,,,1,1,17,15,,,,,,,,,,,,,,,,,,,,,,,,,2594.898552399827,45,reward,1,0.6736501001287252,0.6736540000420064,2595.5790812999476,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(0.7, -0.5)",cs_minus_s,,,,,0,0,0,0,,,,,1,2,18,7,,,,,,,,,,,,,,,,,,,,,,,,,2604.46762209991,50,reward,1,0.6953144001308829,0.7019963001366705,2605.1759430998936,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(0.7, 0.5)",cs_plus_s,,,,,0,0,0,0,,,,,1,3,19,2,,,,,,,,,,,,,,,,,,,,,,,,,2614.4324955998454,50,none,0,,,2619.4392539998516,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(-0.7, -0.5)",cs_plus_s,,,,,0,0,0,0,,,,,1,4,20,1,,,,,,,,,,,,,,,,,,,,,,,,,2629.1402025998104,50,shock,1,0.2085093001369387,0.21539390017278492,2629.355496099917,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
positions.xlsx,stimuli.xlsx,stimuli/Social2.png,stimuli/Social1.png,stimuli/Nonsocial2.png,stimuli/Nonsocial1.png,,"(-0.7, 0.5)",cs_plus_s,,,,,0,0,0,0,,,,,1,5,21,0,,,,,,,,,,,,,,,,,,,,,,,,,2639.070403299993,50,none,0,,,2644.0840896999,,,,,,,,48,D,2024-01-12_11h15.40.244,gca_avoidance_task,2022.2.4,143.8933806189009,
